epoch,accuracy,loss,val_accuracy,val_loss
0,0.3367152214050293,1.5008312463760376,0.3673642575740814,1.4446245431900024
1,0.3982253968715668,1.4072673320770264,0.40625,1.3798582553863525
2,0.43410632014274597,1.3444774150848389,0.43481335043907166,1.325334906578064
3,0.462351530790329,1.28277587890625,0.4475395977497101,1.2884494066238403
4,0.49034926295280457,1.2195435762405396,0.4632352888584137,1.2497453689575195
5,0.517604649066925,1.1666741371154785,0.4868495464324951,1.2162010669708252
6,0.5366232991218567,1.116470456123352,0.5004242062568665,1.1852924823760986
7,0.5496323704719543,1.0805106163024902,0.5016968250274658,1.1742323637008667
8,0.5700296759605408,1.0392084121704102,0.5093325972557068,1.163458228111267
9,0.5853011608123779,1.0092253684997559,0.5251696705818176,1.1455512046813965
10,0.5976032018661499,0.9734137058258057,0.5199377536773682,1.1403279304504395
11,0.6090214848518372,0.9508609771728516,0.526442289352417,1.1371409893035889
12,0.6213235259056091,0.9227818846702576,0.5287047624588013,1.1306947469711304
13,0.6299490928649902,0.8992157578468323,0.5369061231613159,1.1294687986373901
14,0.640801727771759,0.8808979988098145,0.533088207244873,1.1325739622116089
15,0.6463164687156677,0.859047532081604,0.538885772228241,1.1379214525222778
16,0.6544824838638306,0.8406476974487305,0.5401583909988403,1.1561119556427002
17,0.6610930562019348,0.8265578746795654,0.5398755669593811,1.1572498083114624
18,0.6648755669593811,0.8117642402648926,0.5373303294181824,1.15419602394104
19,0.6745262742042542,0.797988772392273,0.5391685366630554,1.1594842672348022
20,0.6784148812294006,0.7837209701538086,0.5374717116355896,1.1624033451080322
21,0.6851668357849121,0.7708775997161865,0.5363404750823975,1.1680012941360474
